Year,World Rank,Teaching,International,Research,Citations,Student-Staff Ratio,Total Score
2011,1,99.7,72.4,98.7,98.8,8.9,96.1
2011,2,97.7,54.6,98,99.9,6.9,96
2011,3,97.8,82.3,91.4,99.9,9,95.6
2011,4,98.3,29.5,98.1,99.2,7.8,94.3
2011,5,90.9,70.3,95.4,99.9,8.4,94.2
2011,6,90.5,77.7,94.1,94,11.8,91.2
2011,6,88.2,77.2,93.9,95.1,11.6,91.2
2011,8,84.2,39.6,99.3,97.8,16.4,91.1
2011,9,89.2,90,94.5,88.3,11.7,90.6
2011,10,92.1,59.2,89.7,91.5,4.4,89.5
2011,11,83,48.1,92.9,93.2,10.3,87.7
2011,12,79.1,62.8,87.9,96.9,6.9,86.9
2011,13,80.9,58.5,89.2,92.3,3.6,86.4
2011,14,82.2,62.4,88.8,88.1,10.2,83.9
2011,15,77.5,93.7,87.8,83.1,14.7,83.4
2011,15,83.9,53.3,89.1,84.1,9,83.4
2011,17,75.8,-,87.9,82.2,19.5,82
2011,18,73.8,90.9,73.8,92.6,5.9,81
2011,19,71.8,32.9,82.7,93.6,6.5,79.5
2011,20,70.3,39.1,79.3,95.7,13.1,79.3
2012,1,95.7,56,98.2,99.9,6.9,94.8
2012,2,95.8,67.5,97.4,99.8,8.9,93.9
2012,2,94.8,57.2,98.9,99.8,7.8,93.9
2012,4,89.5,91.9,96.6,97.9,11.6,93.6
2012,5,91.5,49.6,99.1,100,8.4,92.9
2012,6,90.5,85.3,94.2,97.3,11.8,92.4
2012,7,92.7,79.2,87.4,100,9,92.3
2012,8,88.8,92.2,88.7,93.9,11.7,90.7
2012,9,89.4,58.8,90.8,99.4,6.9,90.2
2012,10,82.8,50.4,99.4,99.4,16.4,89.8
2012,11,92.3,55.5,91.2,96.7,4.4,89.1
2012,12,89.1,67.6,81.8,97.8,5.9,87.5
2012,13,85.9,41,92.5,97.3,10.3,87.3
2012,14,78.9,59.9,86.5,97.3,3.6,85.8
2012,15,79.1,97.5,85.8,87.2,14.7,85
2012,16,87,34.3,86.1,97.9,6.5,84.9
2012,17,77.8,91.8,84.3,89,10.7,83.2
2012,18,75.4,47.2,90,94.3,9,82.8
2012,19,76.9,69,87.4,86.5,19.5,81.6
2012,20,70.4,53.4,87.2,93.5,10.2,80.5
2013,1,96.3,59.8,99.4,99.7,6.9,95.5
2013,2,95,56.6,98.8,99.3,7.8,93.7
2013,2,89.7,88.7,98.1,95.6,11.6,93.7
2013,4,94.9,63.7,98.6,99.2,8.9,93.6
2013,5,92.9,81.6,89.2,99.9,9,93.1
2013,6,89.5,54.5,99.4,99.8,8.4,92.7
2013,7,91.2,83.6,95.6,96.2,11.8,92.6
2013,8,88,91.4,90.9,93,11.7,90.6
2013,9,85.1,49.7,99.3,99.3,16.4,90.5
2013,10,89.6,55.3,92.9,98.7,6.9,90.4
2013,11,93.2,54.7,92.5,94.8,4.4,89.2
2013,12,82.5,95.7,92.7,86.6,14.7,87.8
2013,13,87.3,42.3,93.8,95.9,10.3,87.7
2013,14,89.7,66.1,82,96.1,5.9,87
2013,15,90,38.1,89.4,96.2,6.5,86.6
2013,16,81.8,57.3,85.5,95.3,3.6,85.6
2013,17,83.5,89,88.8,86.8,10.7,85.5
2013,18,77,53.8,92.1,91.8,10.2,83.3
2013,19,77.6,33.8,87.3,98.2,13.8,83.1
2013,20,76.1,47.6,91.4,91.6,9,82.6
2014,1,94.4,65.8,98.2,99.8,6.9,94.9
2014,2,95.3,66.2,98.5,99.1,8.9,93.9
2014,2,89,90.2,98.5,95.4,11.6,93.9
2014,4,94.7,68,96.8,99.1,7.8,93.8
2014,5,92.9,82,89,100,9,93
2014,6,89.9,59.6,97.6,99.7,8.4,92.7
2014,7,90.6,86.7,95.3,95.7,11.8,92.3
2014,8,83.2,57.3,97.5,99.3,16.4,89.8
2014,9,85.6,58.6,88.2,98,6.9,87.8
2014,10,84.5,91.8,88.1,90,11.7,87.5
2014,11,89.5,57.6,90.5,93.5,4.4,87.4
2014,12,84.8,46.4,91,95.6,10.3,86.3
2014,13,86.6,68,79.1,95.6,5.9,85.2
2014,14,77.6,96.7,88.2,85,14.7,84.5
2014,15,75.7,59.3,85.1,95,3.6,83.7
2014,16,79.8,40.6,81.2,95,6.5,81
2014,17,73.9,50,73,96.7,4.8,79.3
2014,18,70,49.5,86.2,90.8,9,79.2
2014,19,72.1,55.6,83.8,90.8,10.2,79.1
2014,20,73.6,70,81.5,84.5,19.5,78.3
2015,1,92.2,67,98.1,99.7,6.9,94.3
2015,2,92.9,67.6,98.6,98.9,8.9,93.3
2015,3,88.6,90.7,97.7,95.5,11.6,93.2
2015,4,91.5,69,96.7,99.1,7.8,92.9
2015,5,89.7,87.8,95.6,95.2,11.8,92
2015,6,89.1,84.3,88.2,100,9,91.9
2015,7,86.6,61.2,94.7,99.6,8.4,90.9
2015,8,84.2,58.5,96.7,99.1,16.4,89.5
2015,9,84.6,92.7,88.3,89.4,11.7,87.5
2015,9,88.5,59.8,90.8,94,4.4,87.5
2015,11,83.9,65.2,89.9,97.3,6.9,87.1
2015,12,82.4,49.2,90.5,95.3,10.3,85.5
2015,13,78.2,96.6,90.2,83.5,14.7,84.6
2015,14,83.9,68.3,79.4,95.3,5.9,84.4
2015,15,75.6,59.7,84.2,93.6,3.6,83
2015,16,79,43.8,82,94.4,6.5,81
2015,17,77,49.8,86.5,88.9,9,80.9
2015,18,73.5,50.5,75.2,96.6,4.8,79.9
2015,19,71.6,59,83.8,91.5,10.2,79.4
2015,20,74.4,71.2,85.1,83,19.5,79.3
2016,1,95.6,64,97.6,99.8,6.9,95.2
2016,2,86.5,94.4,98.9,98.8,11.6,94.2
2016,3,92.5,76.3,96.2,99.9,7.8,93.9
2016,4,88.2,91.5,96.7,97,11.8,92.8
2016,5,89.4,84,88.6,99.7,9,92
2016,6,83.6,77.2,99,99.8,8.9,91.6
2016,7,85.1,78.5,91.9,99.3,8.4,90.1
2016,8,83.3,96,88.5,96.7,11.7,89.1
2016,9,77,97.9,95,91.1,14.7,88.3
2016,10,85.7,65,88.9,99.2,6.9,87.9
2016,11,77.6,70,90.4,98.2,3.6,87.6
2016,12,86.5,64.3,87.8,97.2,4.4,87.4
2016,13,80.4,61.9,91.1,99.7,16.4,87.2
2016,14,78.1,94.4,91,94.2,10.7,87.1
2016,15,85.9,73.5,82.2,98.1,5.9,86.1
2016,16,80.8,56.4,88.6,98.5,10.3,85.8
2016,17,82,49.5,86.9,98.6,6.5,85.2
2016,18,77.9,63.9,86.1,97.2,10.2,84
2016,19,75.9,77.8,89.3,90.9,19.5,83.9
2016,20,76,56.5,78,99,4.8,82.7
